[0.494, 0.031, 0.493, 0.565, 0.64, 0.161, 0.828, 0.147, 1.0, 0.103, 0.561, 0.565, 0.561, 0.796, 0.547, 1.0, 0.36, 0.161, 0.188, 0.147, 0.0, 0.089, 0.427, 0.565, 0.439, 0.796, 0.468, 1.0, 0.48, 0.0, 0.534, 0.002, 0.441, 0.017, 0.573, 0.031]
[0.493, 0.031, 0.493, 0.558, 0.64, 0.161, 0.828, 0.147, 1.0, 0.103, 0.561, 0.565, 0.561, 0.796, 0.547, 1.0, 0.36, 0.161, 0.188, 0.132, 0.0, 0.074, 0.427, 0.551, 0.441, 0.796, 0.468, 0.985, 0.48, 0.0, 0.534, 0.002, 0.441, 0.017, 0.573, 0.031]
[0.487, 0.045, 0.486, 0.564, 0.633, 0.16, 0.825, 0.146, 1.0, 0.099, 0.554, 0.564, 0.554, 0.796, 0.54, 1.0, 0.351, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.564, 0.433, 0.796, 0.46, 1.0, 0.473, 0.0, 0.527, 0.0, 0.433, 0.015, 0.567, 0.029]
[0.486, 0.045, 0.486, 0.557, 0.633, 0.16, 0.825, 0.146, 1.0, 0.099, 0.554, 0.564, 0.554, 0.796, 0.54, 1.0, 0.349, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.551, 0.433, 0.796, 0.46, 0.983, 0.473, 0.0, 0.527, 0.0, 0.433, 0.014, 0.567, 0.029]
[0.494, 0.046, 0.493, 0.55, 0.64, 0.161, 0.828, 0.147, 1.0, 0.103, 0.561, 0.551, 0.547, 0.783, 0.547, 1.0, 0.36, 0.161, 0.188, 0.132, 0.0, 0.089, 0.427, 0.55, 0.441, 0.783, 0.468, 0.985, 0.48, 0.002, 0.534, 0.0, 0.441, 0.017, 0.573, 0.031]
[0.487, 0.046, 0.486, 0.551, 0.633, 0.161, 0.825, 0.147, 1.0, 0.103, 0.554, 0.551, 0.54, 0.783, 0.54, 1.0, 0.351, 0.161, 0.176, 0.132, 0.0, 0.089, 0.418, 0.55, 0.433, 0.783, 0.46, 0.985, 0.473, 0.002, 0.527, 0.0, 0.433, 0.031, 0.567, 0.031]
[0.48, 0.045, 0.479, 0.557, 0.626, 0.16, 0.814, 0.146, 1.0, 0.101, 0.547, 0.564, 0.532, 0.782, 0.532, 1.0, 0.346, 0.16, 0.174, 0.13, 0.0, 0.086, 0.412, 0.551, 0.427, 0.782, 0.453, 0.985, 0.466, 0.0, 0.52, 0.0, 0.427, 0.015, 0.559, 0.029]
[0.487, 0.029, 0.486, 0.551, 0.635, 0.16, 0.825, 0.146, 1.0, 0.101, 0.554, 0.551, 0.554, 0.796, 0.54, 1.0, 0.351, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.551, 0.433, 0.782, 0.46, 0.985, 0.473, 0.0, 0.527, 0.0, 0.433, 0.015, 0.567, 0.029]
[0.494, 0.045, 0.493, 0.551, 0.64, 0.16, 0.828, 0.146, 1.0, 0.101, 0.561, 0.549, 0.561, 0.796, 0.547, 1.0, 0.36, 0.16, 0.188, 0.13, 0.0, 0.087, 0.427, 0.551, 0.441, 0.782, 0.468, 0.985, 0.48, 0.0, 0.532, 0.0, 0.441, 0.029, 0.573, 0.029]
[0.487, 0.046, 0.486, 0.551, 0.635, 0.161, 0.838, 0.147, 1.0, 0.103, 0.554, 0.551, 0.554, 0.796, 0.54, 1.0, 0.351, 0.161, 0.176, 0.13, 0.0, 0.089, 0.418, 0.551, 0.433, 0.795, 0.46, 0.985, 0.473, 0.0, 0.527, 0.002, 0.433, 0.031, 0.567, 0.031]
[0.487, 0.045, 0.486, 0.552, 0.635, 0.16, 0.825, 0.146, 1.0, 0.101, 0.554, 0.552, 0.554, 0.784, 0.54, 1.0, 0.365, 0.16, 0.176, 0.131, 0.0, 0.088, 0.418, 0.552, 0.433, 0.784, 0.458, 0.985, 0.473, 0.0, 0.527, 0.0, 0.433, 0.027, 0.567, 0.029]
[0.487, 0.028, 0.486, 0.545, 0.622, 0.147, 0.825, 0.147, 1.0, 0.087, 0.554, 0.545, 0.554, 0.78, 0.538, 1.0, 0.365, 0.147, 0.189, 0.117, 0.0, 0.073, 0.418, 0.545, 0.433, 0.78, 0.446, 0.986, 0.473, 0.0, 0.527, 0.0, 0.433, 0.014, 0.566, 0.014]
[0.513, 0.043, 0.486, 0.551, 0.62, 0.16, 0.825, 0.146, 1.0, 0.101, 0.554, 0.549, 0.554, 0.796, 0.54, 1.0, 0.351, 0.16, 0.176, 0.146, 0.0, 0.087, 0.418, 0.551, 0.433, 0.782, 0.458, 0.983, 0.487, 0.0, 0.54, 0.0, 0.433, 0.029, 0.567, 0.015]
[0.527, 0.045, 0.486, 0.551, 0.622, 0.16, 0.825, 0.16, 1.0, 0.101, 0.554, 0.551, 0.554, 0.782, 0.54, 1.0, 0.351, 0.158, 0.176, 0.146, 0.0, 0.087, 0.418, 0.551, 0.433, 0.782, 0.46, 0.985, 0.487, 0.0, 0.54, 0.0, 0.433, 0.029, 0.567, 0.015]
[0.527, 0.045, 0.486, 0.557, 0.622, 0.16, 0.825, 0.16, 1.0, 0.101, 0.554, 0.564, 0.554, 0.782, 0.54, 1.0, 0.351, 0.16, 0.176, 0.146, 0.0, 0.087, 0.418, 0.551, 0.433, 0.782, 0.46, 0.985, 0.487, 0.015, 0.54, 0.0, 0.433, 0.029, 0.553, 0.029]
[0.527, 0.045, 0.486, 0.557, 0.622, 0.16, 0.825, 0.16, 1.0, 0.101, 0.554, 0.564, 0.554, 0.796, 0.538, 1.0, 0.351, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.549, 0.433, 0.782, 0.46, 0.985, 0.487, 0.015, 0.54, 0.0, 0.433, 0.029, 0.554, 0.029]
[0.527, 0.043, 0.486, 0.557, 0.622, 0.16, 0.825, 0.16, 1.0, 0.101, 0.554, 0.564, 0.554, 0.782, 0.54, 1.0, 0.351, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.551, 0.433, 0.782, 0.46, 0.985, 0.487, 0.015, 0.54, 0.0, 0.433, 0.029, 0.554, 0.029]
[0.526, 0.046, 0.486, 0.565, 0.622, 0.161, 0.825, 0.147, 1.0, 0.103, 0.554, 0.565, 0.554, 0.796, 0.54, 1.0, 0.349, 0.161, 0.176, 0.132, 0.0, 0.089, 0.418, 0.565, 0.433, 0.783, 0.46, 0.985, 0.487, 0.015, 0.54, 0.0, 0.433, 0.031, 0.567, 0.017]
[0.527, 0.045, 0.486, 0.564, 0.622, 0.16, 0.825, 0.16, 1.0, 0.101, 0.554, 0.564, 0.554, 0.796, 0.54, 1.0, 0.351, 0.16, 0.176, 0.13, 0.0, 0.087, 0.418, 0.564, 0.433, 0.782, 0.46, 1.0, 0.487, 0.015, 0.54, 0.0, 0.433, 0.029, 0.554, 0.029]
